Caladiaceae = Araceae = Alismatales
Calamaceae = Arecaceae = Arecales
Calceolariaceae = Lamiales
Calectasiaceae = Dasypogonaceae = Arecales
Calendulaceae = Asteraceae = Asterales
Callaceae = Araceae = Alismatales
Callicomaceae = Cunoniaceae = Oxalidales
Calligonaceae = Polygonaceae = Caryophyllales
Callitridaceae = Cupressaceae = Cupressales
Callitrichaceae = Plantaginaceae = Lamiales
Calochortaceae = Liliaceae = Liliales
Calophyllaceae = Malpighiales
Calthaceae = Ranunculaceae = Ranunculales
Calycanthaceae = Laurales
Calyceraceae = Asterales
Cambogiaceae = Clusiaceae = Malpighiales
Camelliaceae = Theaceae = Ericales
Campanulaceae = Asterales
Camptothecaceae = Nyssaceae = Cornales
Campynemataceae = Liliales
Canacomyricaceae = Myricaceae = Fagales
Canellaceae = Canellales
Cannabaceae = Rosales
Cannaceae = Zingiberales
Canopodaceae = Santalaceae = Santalales
Canotiaceae = Celastraceae = Celastrales
Cansjeraceae = Opiliaceae = Santalales
Capparaceae = Brassicales
Caprariaceae = Scrophulariaceae = Lamiales
Caprifoliaceae = Dipsacales
Cardiopteridaceae = Aquifoliales
Carduaceae = Asteraceae = Asterales
Caricaceae = Brassicales
Carissaceae = Apocynaceae = Gentianales
Carlemanniaceae = Lamiales
Carlinaceae = Asteraceae = Asterales
Carpinaceae = Betulaceae = Fagales
Carpodetaceae = Rousseaceae = Asterales
Cartonemataceae = Commelinaceae = Commelinales
Caryocaraceae = Malpighiales
Caryophyllaceae = Caryophyllales
Cassiaceae = Fabaceae = Fabales
Cassipoureaceae = Rhizophoraceae = Malpighiales
Cassythaceae = Lauraceae = Laurales
Castaneaceae = Fagaceae = Fagales
Castelaceae = Simaroubaceae = Sapindales
Casuarinaceae = Fagales
Catesbaeaceae = Rubiaceae = Gentianales
Cathedraceae = Aptandraceae = Santalales
Caucaulidaceae = Apiaceae = Apiales
Cecropiaceae = Urticaceae = Rosales
Cedraceae = Pinaceae = Pinales
Cedrelaceae = Meliaceae = Sapindales
Celastraceae = Celastrales
Celosiaceae = Amaranthaceae = Caryophyllales
Celtidaceae = Cannabaceae = Rosales
Centaureaceae = Asteraceae = Asterales
Centrolepidaceae = Restionaceae = Poales
Centroplacaceae = Malpighiales
Cepaceae = Amaryllidaceae = Asparagales
Cephalanthaceae = Rubiaceae = Gentianales
Cephalotaceae = Oxalidales
Cephalotaxaceae = Taxaceae = Cupressales
Cerastiaceae = Caryophyllaceae = Caryophyllales
Ceratoniaceae = Fabaceae = Fabales
Ceratophyllaceae = Ceratophyllales
Ceratopteridaceae = Pteridaceae = Polypodiales
Cerberaceae = Apocynaceae = Gentianales
Cercidiphyllaceae = Saxifragales
Cercocarpaceae = Rosaceae = Rosales
Cercodiaceae = Haloragaceae = Saxifragales
Cereaceae = Cactaceae = Caryophyllales
Cerinthaceae = Boraginaceae = Boraginales
Ceroxylaceae= Arecaceae = Arecales
Cervantesiaceae = Santalaceae = Santalales
Cestraceae = Solanaceae = Solanales
Cevalliaceae = Loasaceae = Cornales
Chaeturaceae = Poaceae = Poales
Chailletiaceae = Dichapetalaceae = Malpighiales
Chamaedoraceae = Arecaceae = Arecales
Chamaemoraceae = Rosaceae = Rosales
Chamelauciaceae = Myrtaceae = Myrtales
Chaunochitonaceae = Aptandraceae = Santalales
Cheilanthaceae = Pteridaceae = Polypodiales
Cheilosaceae = Euphorbiaceae = Malpighiales
Cheiropleuriaceae = Dipteridaceae = Gleicheniales
Chelidoniaceae = Papaveraceae = Ranunculales
Chelonaceae = Plantaginaceae = Lamiales
Chenopodiaceae = Amaranthaceae = Caryophyllales
Chimonanthaceae = Calycanthaceae = Laurales
Chingithamnaceae = Celastraceae = Celastrales
Chionographidaceae = Melanthiaceae = Liliales
Chiranthodendraceae = Malvaceae = Malvales
Chironiaceae = Gentianaceae = Gentianales
Chlaenaceae = Sarcolaenaceae = Malvales
Chloanthaceae = Lamiaceae = Lamiales
Chloranthaceae = Chloranthales
Chloridaceae = Poaceae = Poales
Chlorogalaceae = Asparagaceae = Asparagales
Christenseniaceae = Marattiaceae = Marattiales
Chrysobalanaceae = Malpighiales
Chrysospleniaceae = Saxifragaceae = Saxifragales
Cibotiaceae = Cyatheales
Ciceraceae = Fabaceae = Fabales
Cichoriaceae = Asteraceae = Asterales
Cimicifugaceae = Ranunculaceae = Ranunculales
Cinchoniaceae = Rubiaceae = Gentianales
Circaeaceae = Onagraceae = Myrtales
Circaeasteraceae = Ranunculales
Cissaceae = Vitaceae = Vitales
Cistaceae = Malvales
Citraceae = Rutaceae = Sapindales
Clematidaceae = Ranunculaceae = Ranunculales
Cleomaceae = Brassicales
Clethraceae = Ericales
Clusiaceae = Malpighiales
Cneoraceae = Rutaceae = Sapindales
Cnestidaceae = Connaraceae = Oxalidales
Cnicaceae = Asteraceae = Asterales
Cobaeaceae = Polemoniaceae = Ericales
Cochlospermaceae = Bixaceae = Malvales
Codonaceae = Boraginales
Cocosaceae = Arecaceae = Arecales
Coeleanthaceae = Poaceae = Poales
Coffeaceae = Rubiaceae = Gentianales
Colchicaceae = Liliales
Coldeniaceae = Cordiaceae = Boraginales
Coleogynaceae = Rosaceae = Rosales
Colocasiaceae = Araceae = Alismatales
Columelliaceae = Bruniales
Comandraceae = Santalaceae = Santalales
Combretaceae = Myrtales
Commelinaceae = Commelinales
Comocladiaceae = Anacardiaceae = Sapindales
Compositae = Asterales
Compsoaceae = Calochortoideae = Liliales
Conantheraceae = Tecophilaeaceae = Asparagales
Connaraceae = Oxalidales
Conostylidaceae = Haemodoraceae = Commelinales
Convallariaceae = Asparagaceae = Asparagales
Convolvulaceae = Solanales
Corbichoniaceae = Lophiocarpaceae = Caryophyllales
Cordiaceae = Boraginales
Coreopsidaceae = Asteraceae = Asterales
Coriandraceae = Apiaceae = Apiales
Coriariaceae = Cucurbitales
Coridaceae = Primulaceae = Ericales
Corispermaceae = Amaranthaceae = Caryophyllales
Cornaceae = Cornales
Corokiaceae = Argophyllaceae = Asterales
Coronillaceae = Fabaceae = Fabales
Correaceae = Rutaceae = Sapindales
Corrigiolaceae = Caryophyllaceae = Caryophyllales
Corsiaceae = Liliales
Corydalaceae = Papaveraceae = Ranunculales
Corylaceae = Betulaceae = Fagales
Corynocarpaceae = Cucurbitales
Coryphaceae = Arecaceae = Arecales
Costaceae = Zingiberales
Cotyledonaceae = Crassulaceae = Saxifragales
Coulaceae = Santalales
Coutariaceae = Rubiaceae = Gentianales
Coutoubeaceae = Gentianaceae = Gentianales
Crassulaceae = Saxifragales
Crescentiaceae = Bignoniaceae = Lamiales
Cressaceae = Convolvulaceae = Solanales
Crinaceae = Amaryllidaceae = Asparagales
Crocaceae = Iridaceae = Asparagales
Croomiaceae = Stemonaceae = Pandanales
Crossosomataceae = Crossosomatales
Crotonaceae = Euphorbiaceae = Malpighiales
Cruciferae = Brassicales
Cryptaceae = Elatinaceae = Malpighiales
Crypteroniaceae = Myrtales
Cryptocorynaceae = Araceae = Alismatales
Cryptogammaceae = Pteridaceae = Polypodiales
Cryptomeriaceae = Cupressaceae = Cupressales
Ctenolophonaceae = Malpighiales
Cucurbitaceae = Cucurbitales
Culcitaceae = Cyatheales
Cunninghamiaceae = Cupressaceae = Cupressales
Cunoniaceae = Oxalidales
Cupressaceae = Cupressales
Curcumaceae = Zingiberaceae = Zingiberales
Curtisiaceae = Cornales
Cuscutaceae = Convolvulaceae = Solanales
Cyananthaceae = Campanulaceae = Asterales
Cyanastraceae = Tecophilaeaceae = Asparagales
Cynanchaceae = Apocynaceae = Gentianales
Cyanellaceae = Tecophilaeaceae = Asparagales
Cyatheaceae = Cyatheales
Cycadaceae = Cycadales
Cyclanthaceae = Pandanales
Cyclantheraceae = Cucurbitaceae = Cucurbitales
Cyclocheilaceae = Orobanchaceae = Lamiales
Cydoniaceae = Rosaceae = Rosales
Cymodoceaceae = Alismatales
Cynaraceae = Asteraceae = Asterales
Cynocrambaceae = Rubiaceae = Gentianales
Cynodontaceae = Poaceae = Poales
Cynoglossaceae = Boraginaceae = Boraginales
Cynomoriaceae = Saxifragales
Cynosuraceae = Poaceae = Poales
Cyperaceae = Poales
Cyphiaceae = Campanulaceae = Asterales
Cyphocarpaceae = Campanulaceae = Asterales
Cypripediaceae = Orchidaceae = Asparagales
Cyrillaceae = Ericales
Cyrtandraceae = Gesneriaceae = Lamiales
Cyrtanthaceae = Amaryllidaceae = Asparagales
Cystodiaceae = Polypodiales
Cystopteridaceae = Polypodiales-eupolypod II
Cytinaceae = Malvales

Dacrycarpaceae = Podocarpaceae = Cupressales
Dactylanthaceae = Balanophoraceae = Santalales
Dalbergiaceae = Fabaceae = Fabales
Daleaceae = Fabaceae = Fabales
Damasoniaceae = Alismataceae = Alismatales
Danaeaceae = Marattiaceae = Marattiales
Daphnaceae = Thymelaeaceae = Malvales
Daphniphyllaceae = Saxifragales
Dasypogonaceae = Arecales
Datiscaceae = Cucurbitales
Daturaceae = Solanaceae = Solanales
Daucaceae = Apiaceae = Apiales
Davalliaceae = Polypodiales-eupolypod I
Davidiaceae = Nyssaceae = Cornales
Davidsoniaceae = Cunoniaceae = Oxalidales
Decaisneaceae = Lardizabalaceae = Ranunculales
Deeringiaceae = Amaranthaceae = Caryophyllales
Degeneriaceae = Magnoliales
Delimaceae = Dilleniaceae = Dilleniales
Delphiniaceae = Ranunculaceae = Ranunculales
Dendrophthoaceae = Loranthaceae = Santalales
Dennstaedtiaceae = Polypodiales
Desfontainiaceae = Columelliaceae = Bruniales
Detariaceae = Fabaceae = Fabales
Dialypetalanthaceae = Rubiaceae = Gentianales
Dianellaceae = Asphodelaceae = Asparagales
Dianthaceae = Caryophyllaceae = Caryophyllales
Diapensiaceae = Ericales
Dichapetalaceae = Malpighiales
Dichondraceae = Convolvulaceae = Solanales
Dicksoniaceae = Cyatheales
Diclidantheraceae = Polygalaceae = Fabales
Dicrastylidiaceae = Lamiaceae = Lamiales
Dictamnaceae = Rutaceae = Sapindales
Didiereaceae = Caryophyllales
Didymelaceae = Buxaceae = Buxales
Didymocarpaceae = Gesneriaceae = Lamiales
Diegodendraceae = Bixaceae = Malvales
Diervillaceae = Caprifoliaceae = Dipsacales
Digitalidaceae = Plantaginaceae = Lamiales
Dilatridaceae = Haemodoraceae = Commelinales
Dilleniaceae = Dilleniales
Dioaceae = Zamiaceae = Cycadales
Dionaeaceae = Droseraceae = Caryophyllales
Dioncophyllaceae = Caryophyllales
Dioscoreaceae = Dioscoreales
Diosmaceae = Rutaceae = Sapindales
Diospyraceae = Ebenaceae = Ericales
Dipentodontaceae = Huerteales
Diphylleiaceae = Berberidaceae = Ranunculales
Diplaziopsidaceae = eupolypod II
Diplolaenaceae = Rutaceae = Sapindales
Dipsacaceae = Caprifoliaceae = Dipsacales
Dipteridaceae = Gleicheniales
Dipterocarpaceae = Malvales
Dirachmaceae = Rosales
Disanthaceae = Hamamelidaceae = Saxifragales
Diselmaceae = Cupressaceae = Cupressales
Dodonaeaceae = Sapindaceae = Sapindales
Dombeyaceae = Malvaceae = Malvales
Donatiaceae = Stylidiaceae = Asterales
Dorsteniaceae = Moraceae = Rosales
Dortmannaceae = Campanulaceae = Asterales
Doryanthaceae = Asparagales
Drabaceae = Brassicaceae = Brassicales
Dracaenaceae = Asparagaceae = Asparagales
Dracontiaceae = Araceae = Alismatales
Drimyidaceae = Winteraceae = Canellales
Droseraceae = Caryophyllales
Drosophyllaceae = Caryophyllales
Dryadaceae = Rosaceae = Rosales
Drynariaceae = Polypodiaceae = Polypodiales-eupolypod I
Dryopteridaceae = Polypodiales-eupolypod I
Duabangaceae = Lythraceae = Myrtales
Duckeodendraceae = Solanaceae = Solanales
Dulongiaceae = Phyllonomaceae = Aquifoliales
Durantaceae = Verbenaceae = Lamiales
Durionaceae = Malvaceae = Malvales
Dysphaniaceae = Amaranthaceae = Caryophyllales

Ebenaceae = Ericales
Eccremidaceae = Asphodelaceae = Asparagales
Ecdeiocoleaceae = Poales
Echiaceae = Boraginaceae = Boraginales
Echinariaceae = Poaceae = Poales
Echinopaceae = Asteraceae = Asterales
Ehretiaceae = Boraginales
