order,famAPG,famSyn
Pandanales,Pentastemonaceae,Stemonaceae
Saxifragales,Penthoraceae,Penthoraceae
Piperales,Peperomiaceae,Piperaceae
Malpighiales,Peraceae,Peraceae
Polypodiales-eupolypod I,Peranemataceae,Dryopteridaceae
Asterales,Perdiciaceae,Asteraceae
Saxifragales,Peridiscaceae,Peridiscaceae
Gentianales,Periplocaceae,Apocynaceae
Aquifoliales,Peripterygiaceae,Cardiopteridaceae
Laurales,Perseaceae,Lauraceae
Caryophyllales,Persicariaceae,Polygonaceae
Huerteales,Petenaeaceae,Petenaeaceae
Liliales,Petermanniaceae,Petermanniaceae
Caryophyllales,Petiveriaceae,Petiveriaceae
Lamiales,Petreaceae,Verbenaceae
Petrosaviales,Petrosaviaceae,Petrosaviaceae
Poales,Phalaridaceae,Poaceae
Malvales,Phaleriaceae,Thymelaeaceae
Poales,Pharaceae,Poaceae
Caryophyllales,Pharnaceaceae,Molluginaceae
Fabales,Phaseolaceae,Fabaceae
Asterales,Phellinaceae,Phellinaceae
Lamiales,Phelypaeaceae,Orobanchaceae
Cupressales,Pherosphaeraceae,Podocarpaceae
Cornales,Philadelphaceae,Hydrangeaceae
Liliales,Philesiaceae,Philesiaceae
Malvales,Philippodendraceae,Malvaceae
Malpighiales,Philocrenaceae,Podostemaceae
Alismatales,Philodendraceae,Araceae
Commelinales,Philydraceae,Philydraceae
Poales,Phleaceae,Poaceae
Arecales,Phoenicaceae,Arecaceae
Santalales,Phoradendraceae,Santalaceae
Asparagales,Phormiaceae,Asphodelaceae
Lamiales,Phrymaceae,Phrymaceae
Rosales,Phylicaceae,Rhamnaceae
Malpighiales,Phyllanthaceae,Phyllanthaceae
Cupressales,Phyllocladaceae,Podocarpaceae
Aquifoliales,Phyllonomaceae,Phyllonomaceae
Caryophyllales,Physenaceae,Physenaceae
Arecales,Phytelephaceae,Arecaceae
Icacinales,Phytocrenaceae,Icacinaceae
Caryophyllales,Phytolaccaceae,Phytolaccaceae
Pinales,Piceaceae,Pinaceae
Picramniales,Picramniaceae,Picramniaceae
Asterales,Picridaceae,Asteraceae
Malpighiales,Picrodendraceae,Picrodendraceae
Cupressales,Pilgerodendraceae,Cupressaceae
Sapindales,Pilocarpaceae,Rutaceae
Marsileales,Pilulariaceae,Marsileaceae
Apiales,Pimpinellaceae,Apiaceae
Pinales,Pinaceae,Pinaceae
Lamiales,Pinguiculaceae,Lentibulariaceae
Piperales,Piperaceae,Piperaceae
Malpighiales,Piriquetaceae,Passifloraceae
Caryophyllales,Pisoniaceae,Nyctaginaceae
Sapindales,Pistaciaceae,Anacardiaceae
Alismatales,Pistiaceae,Araceae
Apiales,Pittosporaceae,Pittosporaceae
Malvales,Plagianthaceae,Malvaceae
Cyatheales,Plagiogyraceae,Plagiogyraceae
Celastrales,Plagiopteraceae,Celastraceae
Lamiales,Plantaginaceae,Plantaginaceae
Proteales,Platanaceae,Platanaceae
Fagales,Platycaryaceae,Juglandaceae
Polypodiales-eupolypod I,Platyceriaceae,Polypodiaceae
Cupressales,Platycladaceae,Cupressaceae
Asterales,Platyspermataceae,Alseuosmiaceae
Polypodiales,Platyzomataceae,Pteridaceae
Myrtales,Plectroniaceae,Penaeaceae
Icacinales,Pleurisanthaceae,Icacinaceae
Polypodiales-eupolypod I,Pleurisoriopsidaceae,Polypodiaceae
Ranunculales,Platystemonaceae,Papaveraceae
Lamiales,Plocospermataceae,Plocospermataceae
Caryophyllales,Plumbaginaceae,Plumbaginaceae
Gentianales,Plumeriaceae,Apocynaceae
Poales,Poaceae,Poaceae
Sapindales,Podoaceae,Anacardiaceae
Cupressales,Podocarpaceae,Podocarpaceae
Ranunculales,Podophyllaceae,Berberidaceae
Malpighiales,Podostemaceae,Podostemaceae
Ericales,Polemoniaceae,Polemoniaceae
Malpighiales,Poliothyrsidaceae,Salicaceae
Caryophyllales,Polpodaceae,Molluginaceae
Caryophyllales,Polycarpaeaceae,Caryophyllaceae
Caryophyllales,Polycnemaceae,Amaranthaceae
Fabales,Polygalaceae,Polygalaceae
Caryophyllales,Polygonaceae,Polygonaceae
Cucurbitales,Polygonanthaceae,Anisophylleaceae
Asparagales,Polygonataceae,Asparagaceae
Escalloniales,Polyosmaceae,Escalloniaceae
Polypodiales-eupolypod I,Polypodiaceae,Polypodiaceae
Commelinales,Pontederiaceae,Pontederiaceae
Solanales,Poranaceae,Convolvulaceae
Malpighiales,Porantheraceae,Phyllanthaceae
Caryophyllales,Portulacaceae,Portulacaceae
Caryophyllales,Portulacariaceae,Didiereaceae
Alismatales,Posidoniaceae,Posidoniaceae
Gentianales,Potaliaceae,Gentianaceae
Alismatales,Potamogetonaceae,Potamogetonaceae
Rosales,Potentillaceae,Rosaceae
Rosales,Poteriaceae,Rosaceae
Alismatales,Pothaceae,Araceae
Celastrales,Pottingeriaceae,Celastraceae
Ericales,Primulaceae,Primulaceae
Poales,Prioniaceae,Thurniaceae
Ericales,Prionotaceae,Ericaceae
Malpighiales,Prockiaceae,Salicaceae
Proteales,Proteaceae,Proteaceae
Cupressales,Prumnopityaceae,Podocarpaceae
Rosales,Prunaceae,Rosaceae
Ranunculales,Pseliaceae,Menispermaceae
Malpighiales,Pseudanthaceae,Picrodendraceae
Arecales,Pseudophoenicaceae,Arecaceae
Ophioglossales,Psilotaceae,Psilotaceae
Myrtales,Psiloxylaceae,Myrtaceae
Santalales,Psittacanthaceae,Loranthaceae
Gentianales,Psychotriaceae,Rubiaceae
Lamiales,Psylliaceae,Plantaginaceae
Sapindales,Ptaeroxylaceae,Rutaceae
Sapindales,Pteleaceae,Rutaceae
Gentianales,Pteleocarpaceae,?Gelsemiaceae
Polypodiales,Pteridaceae,Pteridaceae
Polypodiales,Pteridiaceae,Dennstaedtiaceae
Ranunculales,Pteridophyllaceae,Papaveraceae
Vitales,Pterisanthaceae,Vitaceae
Saxifragales,Pterostemonaceae,Iteaceae
Myrtales,Punicaceae,Lythraceae
Malpighiales,Putranjivaceae,Putranjivaceae
Orchidales,Pycnanthaceae,Orchidaceae
Rosales,Pyraceae,Rosaceae
Ericales,Pyrolaceae,Pyroloideae
Sapindales,Quassiaceae,Simaroubaceae
Fagales,Quercaceae,Fagaceae
Malpighiales,Quiinaceae,Ochnaceae
Fabales,Quillajaceae,Quillajaceae
Paracryphiales,Quintiniaceae,Paracryphiaceae
Malpighiales,Rafflesiaceae,Rafflesiaceae
Lamiales,Ramondaceae,Gesneriaceae
Gentianales,Randiaceae,Rubiaceae
Ranunculales,Ranunculaceae,Ranunculaceae
Ranunculales,Ranzaniaceae,Berberidaceae
Poales,Rapateaceae,Rapateaceae
Brassicales,Raphanaceae,Brassicaceae
Caryophyllales,Reaumuriaceae,Tamaricaceae
Lamiales,Rehmanniaceae,Orobanchaceae
Brassicales,Resedaceae,Resedaceae
Poales,Restionaceae,Restionaceae
Lamiales,Retziaceae,Stilbaceae
Caryophyllales,Rhabdodendraceae,Rhabdodendraceae
Polypodiales-eupolypod II,Rhachidosoraceae,Rhachidosoraceae
Rosales,Rhamnaceae,Rhamnaceae
Ericales,Rhaptopetalaceae,Lecythidaceae
Myrtales,Rhexiaceae,Melastomataceae
Lamiales,Rhinanthaceae,Orobanchaceae
Liliales,Rhipogonaceae,Rhipogonaceae
Malpighiales,Rhizophoraceae,Rhizophoraceae
Sapindales,Rhoaceae,Anacardiaceae
Saxifragales,Rhodiolaceae,Crassulaceae
Ericales,Rhododendraceae,Ericaceae
Malvales,Rhodolaenaceae,Sarcolaenaceae
Saxifragales,Rhodoleiaceae,Hamamelidaceae
Ericales,Rhodoraceae,Ericaceae
Rosales,Rhodotypaceae,Rosaceae
Fagales,Rhoipteleaceae,Juglandaceae
Malvales,Rhopalocarpaceae,Sphaerosepalaceae
Myrtales,Rhynchocalycaceae,Penaeaceae
Geraniales,Rhynchothecaceae,Francoaceae
Saxifragales,Ribesiaceae,Grossulariaceae
Malpighiales,Ricinaceae,Euphorbiaceae
Malpighiales,Ricinocarpaceae,Euphorbiaceae
Caryophyllales,Rivinaceae,Petiveriaceae
Ericales,Roridulaceae,Roridulaceae
Rosales,Rosaceae,Rosaceae
Asterales,Rousseaceae,Rousseaceae
Pandanales,Roxburghiaceae,Stemonaceae
Gentianales,Rubiaceae,Rubiaceae
Caryophyllales,Rumicaceae,Polygonaceae
Alismatales,Ruppiaceae,Ruppiaceae
Asparagales,Ruscaceae,Asparagaceae
Sapindales,Rutaceae,Rutaceae
Arecales,Sabalaceae,Arecaceae
Proteales,Sabiaceae,Sabiaceae
Gentianales,Sabiceaceae,Rubiaceae
Caryophyllales,Sabulinaceae,Caryophyllaceae
Poales,Saccharaceae,Poaceae
Gentianales,Saccifoliaceae,Gentianaceae
Polypodiales,Saccolomataceae,Saccolomataceae
Arecales,Sagaceae,Arecaceae
Caryophyllales,Saginaceae,Caryophyllaceae
Solanales,Sagoneaceae,Hydroleaceae
Celastrales,Salaciaceae,Celastraceae
Ericales,Salaxidaceae,Ericaceae
Lamiales,Salazariaceae,Lamiaceae
Malpighiales,Salicaceae,Salicaceae
Caryophyllales,Salicorniaceae,Amaranthaceae
Solanales,Salpiglossidaceae,Solanaceae
Caryophyllales,Salsolaceae,Amaranthaceae
Brassicales,Salvadoraceae,Salvadoraceae
Lamiales,Salviaceae,Lamiaceae
Marsileales,Salviniaceae,Salviniaceae
Dipsacales,Sambucaceae,Adoxaceae
Ericales,Samolaceae,Primulaceae
Malpighiales,Samydaceae,Salicaceae
Rosales,Sanguisorbaceae,Rosaceae
Apiales,Saniculaceae,Apiaceae
Asparagales,Sansevieriaceae,Asparagaceae
Santalales,Santalaceae,Santalaceae
Asterales,Santolinaceae,Asteraceae
Sapindales,Sapindaceae,Sapindaceae
Ericales,Sapotaceae,Sapotaceae
"fossil Sarbaicarpales, ??near ""Hamamelidales""",Sarbaicarpaceae,Sarbaicarpaceae
Caryophyllales,Sarcobataceae,Sarcobataceae
Caryophyllales,Sarcocaceae,Phytolaccaceae
Malvales,Sarcolaenaceae,Sarcolaenaceae
Santalales,Sarcophytaceae,Balanophoraceae
Ericales,Sarcospermataceae,Sapotaceae
Icacinales,Sarcostigmataceae,Icacinaceae
Ranunculales,Sargentodoxaceae,Lardizabalaceae
Ericales,Sarraceniaceae,Sarraceniaceae
Lamiales,Saturejaceae,Lamiaceae
Ericales,Saurauiaceae,Actinidiaceae
Piperales,Saururaceae,Saururaceae
Malpighiales,Sauvagesiaceae,Ochnaceae
Cupressales,Saxegothaeaceae,Podocarpaceae
Saxifragales,Saxifragaceae,Saxifragaceae
Dipsacales,Scabiosaceae,Caprifoliaceae
Asterales,Scaevolaceae,Goodeniaceae
Apiales,Scandicaceae,Apiaceae
Malpighiales,Scepaceae,Phyllanthaceae
Alismatales,Scheuchzeriaceae,Scheuchzeriaceae
Sapindales,Schinaceae,Anacardiaceae
Austrobaileyales,Schisandraceae,Schisandraceae
Schizaeales,Schizaeaceae,Schizaeaceae
Malvales,Schizolaenaceae,Sarcolaenaceae
Brassicales,Schizopetalaceae,Brassicaceae
Lamiales,Schlegeliaceae,Schlegeliaceae
Santalales,Schoepfiaceae,Schoepfiaceae
Lamiales,Schreberaceae,Oleaceae
Cupressales,Sciadopityaceae,Sciadopityaceae
Asparagales,Scillaceae,Asparagaceae
Poales,Scirpaceae,Cyperaceae
Caryophyllales,Scleranthaceae,Caryophyllaceae
Poales,Scleriaceae,Cyperaceae
Solanales,Sclerophylacaceae,Solanaceae
Liliales,Scoliopaceae,Streptopoideae
Lamiales,Scopariaceae,Plantaginaceae
Santalales,Scorodocarpaceae,Strombosiaceae
Lamiales,Scrophulariaceae,Scrophulariaceae
Lamiales,Scutellariaceae,Lamiaceae
Santalales,Scybaliaceae,Balanophoraceae
Malpighiales,Scyphostegiaceae,Salicaceae
Ericales,Scytopetalaceae,Lecythidaceae
Boraginales,Sebestenaceae,Cordiaceae
Saxifragales,Sedaceae,Crassulaceae
Caryophyllales,Seguieriaceae,Petiveriaceae
Lamiales,Selaginaceae,Scrophulariaceae
Lycopodiales,Selaginellaceae,Selaginellaceae
Apiales,Selinaceae,Apiaceae
Saxifragales,Sempervivaceae,Crassulaceae
Asterales,Senecionaceae,Asteraceae
Cupressales,Sequoiaceae,Cupressaceae
Asterales,Serratulaceae,Asteraceae
Lamiales,Sesamaceae,Pedaliaceae
Poales,Sesleriaceae,Poaceae
Caryophyllales,Sesuviaceae,Aizoaceae
Brassicales,Setchellanthaceae,Setchellanthaceae
Myrtales,Sheadendraceae,Combretaceae
Lamiales,Sibthorpiaceae,Plantaginaceae
Malvales,Sidaceae,Malvaceae
Caryophyllales,Silenaceae,Caryophyllaceae
Apiales,Sileraceae,Apiaceae
Sapindales,Simabaceae,Simaroubaceae
Sapindales,Simaroubaceae,Simaroubaceae
Caryophyllales,Simmondsiaceae,Simmondsiaceae
Ranunculales,Sinofranchetiaceae,Lardizabalaceae
Polypodiales,Sinopteridaceae,Pteridaceae
Laurales,Siparunaceae,Siparunaceae
Lamiales,Siphonanthaceae,Lamiaceae
Celastrales,Siphonodontaceae,Celastraceae
Brassicales,Sisymbriaceae,Brassicaceae
Ericales,Sladeniaceae,Sladeniaceae
Malpighiales,Smeathmanniaceae,Passifloraceae
Liliales,Smilacaceae,Smilacaceae
Apiales,Smyrniaceae,Apiaceae
Solanales,Solanaceae,Solanaceae
Myrtales,Sonneratiaceae,Lythraceae
Dilleniales,Soramiaceae,Dilleniaceae
Rosales,Sorbaceae,Rosaceae
Sapindales,Soulameaceae,Simaroubaceae
Saxifragales,Soyauxiaceae,Peridiscaceae
Poales,Sparganiaceae,Typhaceae
Malvales,Sparmanniaceae,Malvaceae
Poales,Spartinaceae,Poaceae
Sapindales,Spatheliaceae,Rutaceae
Caryophyllales,Spergulaceae,Caryophyllaceae
Gentianales,Spermacoceaceae,Rubiaceae
Malvales,Sphaerosepalaceae,Sphaerosepalaceae
Solanales,Sphenocleaceae,Sphenocleaceae
Paracryphiales,Sphenostemonaceae,Paracryphiaceae
Gentianales,Spigeliaceae,Loganiaceae
Caryophyllales,Spinaciaceae,Amaranthaceae
Rosales,Spiraeaceae,Rosaceae
Oxalidales,Spiraeanthemaceae,Cunoniaceae
Sapindales,Spondiadaceae,Anacardiaceae
Poales,Sporobolaceae,Poaceae
Lamiales,Stachydaceae,Lamiaceae
Crossosomatales,Stachyuraceae,Stachyuraceae
Celastrales,Stackhousiaceae,Celastraceae
Cycadales,Stangeriaceae,Zamiaceae
Brassicales,Stanleyaceae,Brassicaceae
Gentianales,Stapeliaceae,Apocynaceae
Crossosomatales,Staphyleaceae,Staphyleaceae
Caryophyllales,Staticaceae,Plumbaginaceae
Caryophyllales,Stegnospermataceae,Stegnospermataceae
Caryophyllales,Stellariaceae,Caryophyllaceae
Pandanales,Stemonaceae,Stemonaceae
Aquifoliales,Stemonuraceae,Stemonuraceae
Dioscoreales,Stenomeridaceae,Dioscoreaceae
Malvales,Sterculiaceae,Malvaceae
Malpighiales,Stilaginaceae,Phyllanthaceae
Lamiales,Stilbaceae,Stilbaceae
Poales,Stipaceae,Poaceae
Brassicales,Stixidaceae,Resedaceae
Crossosomatales,Strasburgeriaceae,Strasburgeriaceae
Alismatales,Stratiotaceae,Hydrocharitaceae
Zingiberales,Strelitziaceae,Strelitziaceae
Poales,Streptochaetaceae,Poaceae
Gleicheniales,Stromatopteridaceae,Gleicheniaceae
Santalales,Strombosiaceae,Strombosiaceae
Asparagales,Strumariaceae,Amaryllidaceae
Gentianales,Strychnaceae,Loganiaceae
Asterales,Stylidiaceae,Stylidiaceae
Fabales,Stylobasiaceae,Surianaceae
Buxales,Stylocerataceae,Buxaceae
Ericales,Stypheliaceae,Ericaceae
Ericales,Styracaceae,Styracaceae
Fabales,Surianaceae,Surianaceae
Fabales,Swartziaceae,Fabaceae
Sapindales,Swieteniaceae,Meliaceae
Lamiales,Symphoremataceae,Lamiaceae
Ericales,Symplocaceae,Symplocaceae
Arecales,Synechanthaceae,Arecaceae
Lamiales,Syringaceae,Oleaceae
Dioscoreales,Taccaceae,Taccaceae
Polypodiales,Taenitidaceae,Pteridaceae
Cupressales,Taiwaniaceae,Cupressaceae
Canellales,Taktajaniaceae,Winteraceae
Caryophyllales,Talinaceae,Talinaceae
Dioscoreales,Tamaceae,Dioscoreaceae
Caryophyllales,Tamaricaceae,Tamaricaceae
Fabales,Tamarindaceae,Fabaceae
Dioscoreales,Tamnaceae,Dioscoreaceae
Asterales,Tanacetaceae,Asteraceae
Huerteales,Tapisciaceae,Tapisciaceae
Cupressales,Taxaceae,Taxaceae
Cupressales,Taxodiaceae,Cupressaceae
Asparagales,Tecophilaeaceae,Tecophilaeaceae
Polypodiales-eupolypod I,Tectariaceae,Tectariaceae
Caryophyllales,Telephiaceae,Caryophyllaceae
Malvales,Tepuianthaceae,Thymelaeaceae
Myrtales,Terminaliaceae,Combretaceae
Ericales,Ternstroemiaceae,Pentaphylacaceae
Saxifragales,Tetracarpaeaceae,Tetracarpaeaceae
Trochodendrales,Tetracentraceae,Trochodendraceae
Lamiales,Tetrachondraceae,Tetrachondraceae
Cupressales,Tetraclinaceae,Cupressaceae
Sapindales,Tetradiclidaceae,Nitrariaceae
Caryophyllales,Tetragoniaceae,Aizoaceae
Cucurbitales,Tetramelaceae,Tetramelaceae
Ericales,Tetrameristaceae,Tetrameristaceae
Santalales,Tetrastylidiaceae,Strombosiaceae
Oxalidales,Tetrathecaceae,Elaeocarpaceae
Alismatales,Thalassiaceae,Hydrocharitaceae
Ranunculales,Thalictraceae,Ranunculaceae
Ericales,Theaceae,Theaceae
Gentianales,Theligonaceae,Rubiaceae
Polypodiales-eupolypod II,Thelypteridaceae,Thelypteridaceae
Asparagales,Themidaceae,Asparagaceae
Malvales,Theobromataceae,Malvaceae
Ericales,Theophrastaceae,Primulaceae
Santalales,Thesiaceae,Santalaceae
Dioscoreales,Thismiaceae,Thismiaceae
Brassicales,Thlaspiaceae,Brassicaceae
Gnetales,Thoaceae,Gnetaceae
Lamiales,Thomandersiaceae,Thomandersiaceae
Cupressales,Thujaceae,Cupressaceae
Cupressales,Thujopsidaceae,Cupressaceae
Lamiales,Thunbergiaceae,Acanthaceae
Poales,Thurniaceae,Thurniaceae
Malvales,Thymelaeaceae,Thymelaeaceae
Cyatheales,Thyrsopteridaceae,Thyrsopteridaceae
Fagales,Ticodendraceae,Ticodendraceae
Malvales,Tiliaceae,Malvaceae
Saxifragales,Tillaeaceae,Crassulaceae
Poales,Tillandsiaceae,Bromeliaceae
Dipsacales,Tinaceae,Adoxaceae
Malpighiales,Tithymalaceae,Euphorbiaceae
Ophioglossales,Tmesipteridaceae,Psilotaceae
Alismatales,Tofieldiaceae,Tofieldiaceae
Rosales,Tormentillaceae,Rosaceae
Cupressales,Torreyaceae,Taxaceae
Apiales,Torricelliaceae,Torricelliaceae
Brassicales,Tovariaceae,Tovariaceae
Commelinales,Tradescantiaceae,Commelinaceae
Malpighiales,Tragiaceae,Euphorbiaceae
Myrtales,Trapaceae,Lythraceae
Lamiales,Trapellaceae,Plantaginaceae
Oxalidales,Tremandraceae,Elaeocarpaceae
Malpighiales,Trewiaceae,Euphorbiaceae
Escalloniales,Tribelaceae,Escalloniaceae
Zygophyllales,Tribulaceae,Zygophyllaceae
Hymenophyllales,Trichomanaceae,Hymenophyllaceae
Dioscoreales,Trichopodaceae,Dioscoreaceae
Liliales,Tricyrtidaceae,Calochortoideae
Fabales,Trifoliaceae,Fabaceae
Alismatales,Triglochinaceae,Juncaginaceae
Malpighiales,Trigoniaceae,Trigoniaceae
Liliales,Trilliaceae,Melanthiaceae
Austrobaileyales,Trimeniaceae,Trimeniaceae
Malvales,Triplobaceae,Malvaceae
Malvales,Triplochitonaceae,Malvaceae
Dipsacales,Triplostegiaceae,Caprifoliaceae
Malpighiales,Tristichaceae,Podostemaceae
Poales,Triticaceae,Poaceae
Pandanales,Triuridaceae,Triuridaceae
Trochodendrales,Trochodendraceae,Trochodendraceae
Brassicales,Tropaeolaceae,Tropaeolaceae
Asparagales,Tulbaghiaceae,Amaryllidaceae
Liliales,Tulipaceae,Liliaceae
Gnetales,Tumboaceae,Welwitschiaceae
Asparagales,Tupistraceae,Asparagaceae
Malpighiales,Turneraceae,Passifloraceae
Asterales,Tussilagaceae,Asteraceae
Poales,Typhaceae,Typhaceae
Malpighiales,Uapacaceae,Phyllanthaceae
Caryophyllales,Ullucaceae,Basellaceae
Rosales,Ulmaceae,Ulmaceae
Rosales,Ulmariaceae,Rosaceae
Apiales,Umbelliferae,Apiaceae
Commelinales,Unisemataceae,Pontederiaceae
Rosales,Urticaceae,Urticaceae
Lamiales,Utriculariaceae,Lentibulariaceae
Liliales,Uvulariaceae,Colchicaceae
Ericales,Vacciniaceae,Ericaceae
Vahliales,Vahliaceae,Vahliaceae
Dipsacales,Valerianaceae,Caprifoliaceae
Alismatales,Vallisneriaceae,Hydrocharitaceae
Asparagales,Vanillaceae,Orchidaceae
Pandanales,Velloziaceae,Velloziaceae
Liliales,Veratraceae,Melanthiaceae
Lamiales,Verbascaceae,Scrophulariaceae
Lamiales,Verbenaceae,Verbenaceae
Sapindales,Vernicaceae,Anacardiaceae
Asterales,Vernoniaceae,Asteraceae
Lamiales,Veronicaceae,Plantaginaceae
Dipsacales,Viburnaceae,Adoxaceae
Fabales,Viciaceae,Fabaceae
Gentianales,Vincaceae,Apocynaceae
Malpighiales,Violaceae,Violaceae
Santalales,Viscaceae,Santalaceae
Vitales,Vitaceae,Vitaceae
Lamiales,Viticaceae,Lamiaceae
Polypodiales,Vittariaceae,Pteridaceae
Geraniales,Vivianiaceae,Francoaceae
Myrtales,Vochysiaceae,Vochysiaceae
Commelinales,Wachendorfiaceae,Haemodoraceae
Asparagales,Walleriaceae,Tecophilaeaceae
Sabiales,Wellingtoniaceae,Sabiaceae
Boraginales,Wellstediaceae,Wellstediaceae
Gnetales,Welwitschiaceae,Welwitschiaceae
Cupressales,Widdringtoniaceae,Cupressaceae
Gentianales,Willughbieaceae,Apocynaceae
Canellales,Winteraceae,Winteraceae
Canellales,Winteranaceae,Canellaceae
Alismatales,Wolffiaceae,Araceae
eupolypod II,Woodsiaceae,Woodsiaceae
Asterales,Xanthiaceae,Asteraceae
Sapindales,Xanthoceratceae,Sapindaceae
Fabales,Xanthophyllaceae,Polygalaceae
Asparagales,Xanthorrhoeaceae,Asphodelaceae
Asterales,Xeranthemaceae,Asteraceae
Asparagales,Xeronemataceae,Xeronemataceae
Liliales,Xerophyllaceae,Melanthiaceae
Santalales,Ximeniaceae,Ximeniaceae
Commelinales,Xiphidiaceae,Haemodoraceae
Poales,Xyridaceae,Xyridaceae
Asparagales,Yuccaceae,Asparagaceae
Cycadales,Zamiaceae,Zamiaceae
Alismatales,Zannichelliaceae,Potamogetonaceae
Cucurbitales,Zanoniaceae,Cucurbitaceae
Sapindales,Zanthoxylaceae,Rutaceae
Poales,Zeaceae,Poaceae
Asparagales,Zephyranthaceae,Amaryllidaceae
Zingiberales,Zingiberaceae,Zingiberaceae
Rosales,Ziziphaceae,Rhamnaceae
Alismatales,Zosteraceae,Zosteraceae
Poales,Zoysiaceae,Poaceae
Zygophyllales,Zygophyllaceae,Zygophyllaceae
