order,famAPG,famSyn
Cupressales,Cryptomeriaceae,Cupressaceae
Malpighiales,Ctenolophonaceae,Ctenolophonaceae
Cucurbitales,Cucurbitaceae,Cucurbitaceae
Cyatheales,Culcitaceae,Culcitaceae
Cupressales,Cunninghamiaceae,Cupressaceae
Oxalidales,Cunoniaceae,Cunoniaceae
Cupressales,Cupressaceae,Cupressaceae
Zingiberales,Curcumaceae,Zingiberaceae
Cornales,Curtisiaceae,Curtisiaceae
Solanales,Cuscutaceae,Convolvulaceae
Asterales,Cyananthaceae,Campanulaceae
Asparagales,Cyanastraceae,Tecophilaeaceae
Gentianales,Cynanchaceae,Apocynaceae
Asparagales,Cyanellaceae,Tecophilaeaceae
Cyatheales,Cyatheaceae,Cyatheaceae
Cycadales,Cycadaceae,Cycadaceae
Pandanales,Cyclanthaceae,Cyclanthaceae
Cucurbitales,Cyclantheraceae,Cucurbitaceae
Lamiales,Cyclocheilaceae,Orobanchaceae
Rosales,Cydoniaceae,Rosaceae
Alismatales,Cymodoceaceae,Cymodoceaceae
Asterales,Cynaraceae,Asteraceae
Gentianales,Cynocrambaceae,Rubiaceae
Poales,Cynodontaceae,Poaceae
Boraginales,Cynoglossaceae,Boraginaceae
Saxifragales,Cynomoriaceae,Cynomoriaceae
Poales,Cynosuraceae,Poaceae
Poales,Cyperaceae,Cyperaceae
Asterales,Cyphiaceae,Campanulaceae
Asterales,Cyphocarpaceae,Campanulaceae
Asparagales,Cypripediaceae,Orchidaceae
Ericales,Cyrillaceae,Cyrillaceae
Lamiales,Cyrtandraceae,Gesneriaceae
Asparagales,Cyrtanthaceae,Amaryllidaceae
Polypodiales,Cystodiaceae,Cystodiaceae
Polypodiales-eupolypod II,Cystopteridaceae,Cystopteridaceae
Malvales,Cytinaceae,Cytinaceae
Cupressales,Dacrycarpaceae,Podocarpaceae
Santalales,Dactylanthaceae,Balanophoraceae
Fabales,Dalbergiaceae,Fabaceae
Fabales,Daleaceae,Fabaceae
Alismatales,Damasoniaceae,Alismataceae
Marattiales,Danaeaceae,Marattiaceae
Malvales,Daphnaceae,Thymelaeaceae
Saxifragales,Daphniphyllaceae,Daphniphyllaceae
Arecales,Dasypogonaceae,Dasypogonaceae
Cucurbitales,Datiscaceae,Datiscaceae
Solanales,Daturaceae,Solanaceae
Apiales,Daucaceae,Apiaceae
Polypodiales-eupolypod I,Davalliaceae,Davalliaceae
Cornales,Davidiaceae,Nyssaceae
Oxalidales,Davidsoniaceae,Cunoniaceae
Ranunculales,Decaisneaceae,Lardizabalaceae
Caryophyllales,Deeringiaceae,Amaranthaceae
Magnoliales,Degeneriaceae,Degeneriaceae
Dilleniales,Delimaceae,Dilleniaceae
Ranunculales,Delphiniaceae,Ranunculaceae
Santalales,Dendrophthoaceae,Loranthaceae
Polypodiales,Dennstaedtiaceae,Dennstaedtiaceae
Bruniales,Desfontainiaceae,Columelliaceae
Fabales,Detariaceae,Fabaceae
Gentianales,Dialypetalanthaceae,Rubiaceae
Asparagales,Dianellaceae,Asphodelaceae
Caryophyllales,Dianthaceae,Caryophyllaceae
Ericales,Diapensiaceae,Diapensiaceae
Malpighiales,Dichapetalaceae,Dichapetalaceae
Solanales,Dichondraceae,Convolvulaceae
Cyatheales,Dicksoniaceae,Dicksoniaceae
Fabales,Diclidantheraceae,Polygalaceae
Lamiales,Dicrastylidiaceae,Lamiaceae
Sapindales,Dictamnaceae,Rutaceae
Caryophyllales,Didiereaceae,Didiereaceae
Buxales,Didymelaceae,Buxaceae
Lamiales,Didymocarpaceae,Gesneriaceae
Malvales,Diegodendraceae,Bixaceae
Dipsacales,Diervillaceae,Caprifoliaceae
Lamiales,Digitalidaceae,Plantaginaceae
Commelinales,Dilatridaceae,Haemodoraceae
Dilleniales,Dilleniaceae,Dilleniaceae
Cycadales,Dioaceae,Zamiaceae
Caryophyllales,Dionaeaceae,Droseraceae
Caryophyllales,Dioncophyllaceae,Dioncophyllaceae
Dioscoreales,Dioscoreaceae,Dioscoreaceae
Sapindales,Diosmaceae,Rutaceae
Ericales,Diospyraceae,Ebenaceae
Huerteales,Dipentodontaceae,Dipentodontaceae
Ranunculales,Diphylleiaceae,Berberidaceae
eupolypod II,Diplaziopsidaceae,Diplaziopsidaceae
Sapindales,Diplolaenaceae,Rutaceae
Dipsacales,Dipsacaceae,Caprifoliaceae
Gleicheniales,Dipteridaceae,Dipteridaceae
Malvales,Dipterocarpaceae,Dipterocarpaceae
Rosales,Dirachmaceae,Dirachmaceae
Saxifragales,Disanthaceae,Hamamelidaceae
Cupressales,Diselmaceae,Cupressaceae
Sapindales,Dodonaeaceae,Sapindaceae
Malvales,Dombeyaceae,Malvaceae
Asterales,Donatiaceae,Stylidiaceae
Rosales,Dorsteniaceae,Moraceae
Asterales,Dortmannaceae,Campanulaceae
Asparagales,Doryanthaceae,Doryanthaceae
Brassicales,Drabaceae,Brassicaceae
Asparagales,Dracaenaceae,Asparagaceae
Alismatales,Dracontiaceae,Araceae
Canellales,Drimyidaceae,Winteraceae
Caryophyllales,Droseraceae,Droseraceae
Caryophyllales,Drosophyllaceae,Drosophyllaceae
Rosales,Dryadaceae,Rosaceae
Polypodiales-eupolypod I,Drynariaceae,Polypodiaceae
Polypodiales-eupolypod I,Dryopteridaceae,Dryopteridaceae
Myrtales,Duabangaceae,Lythraceae
Solanales,Duckeodendraceae,Solanaceae
Aquifoliales,Dulongiaceae,Phyllonomaceae
Lamiales,Durantaceae,Verbenaceae
Malvales,Durionaceae,Malvaceae
Caryophyllales,Dysphaniaceae,Amaranthaceae
Ericales,Ebenaceae,Ebenaceae
Asparagales,Eccremidaceae,Asphodelaceae
Poales,Ecdeiocoleaceae,Ecdeiocoleaceae
Boraginales,Echiaceae,Boraginaceae
Poales,Echinariaceae,Poaceae
Asterales,Echinopaceae,Asteraceae
Boraginales,Ehretiaceae,Ehretiaceae
Poales,Ehrhartaceae,Poaceae
Rosales,Elaeagnaceae,Elaeagnaceae
Oxalidales,Elaeocarpaceae,Elaeocarpaceae
Polypodiales-eupolypod I,Elaphoglossaceae,Dryopteridaceae
Poales,Elegiaceae,Restionaceae
Malpighiales,Elatinaceae,Elatinaceae
Boraginales,Ellisiaceae,Hydrophyllaceae
Lamiales,Ellisiophyllaceae,Plantaginaceae
Alismatales,Elodeaceae,Hydrocharitaceae
Santalales,Elytranthaceae,Loranthaceae
Ericales,Embeliaceae,Primulaceae
Brassicales,Emblingiaceae,Emblingiaceae
Metteniusales,Emmotaceae,Metteniusaceae
Ericales,Empetraceae,Ericaceae
